57,"Chiesa di San Nicolo dei Mendicoli, Campo San Nicolo, Dorsoduro, Venice, Veneto, Italy",45.4326134,12.3156846
58,"San Stae, Campo San Stae, Santa Croce, Venice, Veneto, Italy",45.4386057,12.3147962
59,"Santa Maria Formosa, Castello, Venice, Veneto, Italy",45.4384458,12.3522311
60,"Ristorante Roma, Cannaregio, Venice, Veneto, Italy",45.4434254,12.3279661
61,"Chiesa di San Barnaba, Campo San Barnaba, Dorsoduro, Venice, Veneto, Italy",45.4330526,12.3249872
62,"Palazzi Barbaro, Grand Canal, Venice, Veneto, Italy",45.4363568,12.3322494
63,"Marghera, Venice, Veneto, Italy",45.4768369,12.2227838
64,"Palazzo Barbaro, Venice, Veneto, Italy",45.431744,12.3299857
65,"Palazzo Polignac, Venice, Veneto, Italy",45.4408474,12.3155151
66,"Cie, Venice, Veneto, Italy",45.4408474,12.3155151
67,"Fondamenta delle Case Nove, Murano, Venice, Veneto, Italy",45.4591246,12.3556455
68,"Fondamenta San Biagio, Venice, Veneto, Italy",45.4279074,12.3211556
69,"Fondamenta Serenella, Murano, Venice, Veneto, Italy",45.4521531,12.348038
70,"Campiello dei Calegheri, Venice, Veneto, Italy",45.4408474,12.3155151
71,"Banca Commerciale Italiana, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
72,"San Giorgio Maggiore, San Marco, Venice, Veneto, Italy",45.4347862,12.3304383
73,"Toletta Bookstore, Venice, Veneto, Italy",45.4408474,12.3155151
74,"San Marco, Venice, Veneto, Italy",45.434,12.333
75,"Cipriani Hotel, Giudecca Island, Venice, Veneto, Italy",45.4244638,12.3294986
76,"Mercato, Venice, Veneto, Italy",45.4394048,12.3352883
77,"Accademia Bridge, Venice, Veneto, Italy",45.4379842,12.335898
78,"Giudecca Island, Venice, Veneto, Italy",45.4244638,12.3294986
79,"Academy of Music, Venice, Veneto, Italy",45.4408474,12.3155151
80,"Guidecca Canal, Venice, Veneto, Italy",45.4338108,12.3243068
81,"Houses of the Procurators, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
82,"Doge's Palace, St. Mark's Square, Venice, Veneto, Italy",45.4408474,12.3155151
83,"Basilica of St. Mark's Cathedral, Venice, Veneto, Italy",45.4408474,12.3155151
84,"Scuola Grande di San Rocco, Campo San Rocco, Venice, Veneto, Italy",45.4366018,12.3253942
85,"Campiello Barbaro, Venice, Veneto, Italy",45.430531,12.3322684
86,"Airport San Nicole, Venice, Veneto, Italy",45.4408474,12.3155151
87,"Pellestrina, Venice, Veneto, Italy",45.273333,12.301111
88,"Hotel Bauer, Venice, Veneto, Italy",45.4408474,12.3155151
89,"Giardini della Biennale, Venice, Veneto, Italy",45.4290231,12.3580078
90,"Cattedrale Patriarcale di San Marco, St Mark's Basilica, Venice, Veneto, Italy",45.4408474,12.3155151
91,"Fondamenta Soranzo delle Fornace, Dorsoduro",45.430667,12.332583
92,"Locanda Montin, Dorsoduro, 1147",45.4315,12.324
93,"Squero di San Trovaso gondola repair yard, Dorsoduro, 1097",45.430177,12.325885
